hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,6,2015,October,42.0,11,2.0,0.0,2,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,E,E,1.0,No Deposit,240.0,113.0,0.0,Transient,82.0,1.0,1,Check-Out,13/10/2015
Resort Hotel,0,24,2015,November,45.0,3,3.0,10.0,2,0.0,0.0,BB,ITA,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,326.0,281.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,24,2015,November,45.0,3,3.0,10.0,2,0.0,0.0,BB,ESP,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,334.0,281.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,35,2015,November,45.0,6,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,E,E,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,52.2,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,45.0,6,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,45.0,invalid,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,45.0,6,2.0,7.0,1,0.0,0.0,BB,AUT,invalid,invalid,0.0,0,0.0,E,E,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,52.2,1.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,DEU,Corporate,invalid,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,GBR,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,DEU,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
